"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-0753",367,15,8.8,"NAP",2007
"NLA06608-0754",251,3,1.152,"NAP",2007
"NLA06608-0755",2216,1104,114.6,"NPL",2007
"NLA06608-0756",326,3,10.96,"SPL",2007
"NLA06608-0759",4153,360,185.4,"TPL",2007
"NLA06608-0761",403,12,54,"SAP",2007
"NLA06608-0762",3940,264,133.2,"NPL",2007
"NLA06608-0764",1386,58,24.264,"SPL",2007
"NLA06608-0765",507,29,11.392,"SAP",2007
"NLA06608-0766",1673,40,33.936,"TPL",2007
"NLA06608-0769",384,16,15.36,"WMT",2007
"NLA06608-0770",1455,28,6.815,"XER",2007
"NLA06608-0771",622,20,6.4,"UMW",2007
"NLA06608-0775",569,18,1.816,"SPL",2007
"NLA06608-0779",3916,1543,98.496,"TPL",2007
"NLA06608-0781",729,34,17.92,"NAP",2007
"NLA06608-0782",443,7,3.28,"UMW",2007
"NLA06608-0783",1896,819,50.933,"TPL",2007
"NLA06608-0785",2621,15,6.568,"XER",2007
"NLA06608-0792",760,47,30.24,"SPL",2007
"NLA06608-0793",340,19,3.072,"SAP",2007
"NLA06608-0794",91,3,1.056,"WMT",2007
"NLA06608-0797",418,24,4.24,"XER",2007
"NLA06608-0802",361,18,5.232,"NAP",2007
"NLA06608-0804",335,13,5.013,"TPL",2007
"NLA06608-0805",755,51,2.272,"NAP",2007
"NLA06608-0806",427,20,8.32,"NAP",2007
"NLA06608-0807",1505,511,27.504,"TPL",2007
"NLA06608-0808",1748,126,76.8,"TPL",2007
"NLA06608-0809",546,13,3.008,"WMT",2007
"NLA06608-0815",269,39,27.2,"CPL",2007
"NLA06608-0851",1104,44,7.8,"NPL",2007
"NLA06608-0856",483,31,9.467,"SPL",2007
"NLA06608-0857",469,31,12.72,"SAP",2007
"NLA06608-0859",913,33,11.472,"TPL",2007
"NLA06608-0860",6672,222,11.168,"TPL",2007
"NLA06608-0862",654,11,3.568,"UMW",2007
"NLA06608-0863",446,36,14.384,"SAP",2007
"NLA06608-0864",973,11,9.223,"SPL",2007
"NLA06608-0865",1489,100,83.52,"CPL",2007
"NLA06608-0868",1184,61,29.48,"TPL",2007
"NLA06608-0869",479,44,11.657,"NAP",2007
"NLA06608-0870",87,43,0.488,"WMT",2007
"NLA06608-0871",5378,407,256.32,"TPL",2007
"NLA06608-0872",1129,276,14.32,"SPL",2007
"NLA06608-0873",433,141,9.98,"WMT",2007
"NLA06608-0874",3441,29,14.16,"UMW",2007
"NLA06608-0875",720,16,6.136,"UMW",2007
"NLA06608-0877",878,14,11.8,"XER",2007
"NLA06608-0878",630,18,6.112,"UMW",2007
"NLA06608-0880",1463,134,41.6,"SPL",2007
"NLA06608-0881",513,42,15.886,"WMT",2007
"NLA06608-0885",865,1386,23.04,"XER",2007
"NLA06608-0889",404,204,11.925,"XER",2007
"NLA06608-0890",449,8,3.384,"UMW",2007
"NLA06608-0891",1137,133,30.677,"SPL",2007
"NLA06608-0893",303,14,6.96,"SAP",2007
"NLA06608-0895",520,237,13.856,"WMT",2007
"NLA06608-0899",4472,495,69.192,"NPL",2007
"NLA06608-0900",700,48,15.648,"TPL",2007
"NLA06608-0904",1603,135,77.2,"TPL",2007
"NLA06608-0905",358,12,1.294,"WMT",2007
"NLA06608-0906",111,1,0.832,"WMT",2007
"NLA06608-0913",697,10,3.44,"NAP",2007
"NLA06608-0914",171,10,1.288,"NAP",2007
"NLA06608-0915",1410,102,37.872,"UMW",2007
"NLA06608-0916",237,16,1.727,"WMT",2007
"NLA06608-0918",244,4,2.384,"NAP",2007
"NLA06608-0921",340,7,19.5,"SAP",2007
"NLA06608-0922",226,12,1.243,"NPL",2007
"NLA06608-0924",14400,447,98,"SPL",2007
"NLA06608-0925",1160,1,1.018,"XER",2007
"NLA06608-0926",252,4,1.472,"UMW",2007
"NLA06608-0927",498,18,2.715,"XER",2007
"NLA06608-0929",354,14,1.561,"WMT",2007
"NLA06608-0930",174,4,1.304,"NAP",2007
"NLA06608-0933",775,136,8.16,"WMT",2007
"NLA06608-0934",5,1,0.067,"WMT",2007
"NLA06608-0935",1198,36,18.72,"UMW",2007
"NLA06608-0938",519,34,11.888,"UMW",2007
"NLA06608-0940",866,37,22.56,"SPL",2007
"NLA06608-0942",306,6,2.384,"UMW",2007
"NLA06608-0943",93,5,2.288,"SAP",2007
"NLA06608-0944",1419,523,25.227,"NPL",2007
"NLA06608-0946",552,30,14.96,"NAP",2007
"NLA06608-0950",234,20,1.723,"XER",2007
"NLA06608-0955",288,10,2.784,"WMT",2007
"NLA06608-0957",276,8,2.16,"SAP",2007
"NLA06608-0958",511,18,8.56,"UMW",2007
"NLA06608-0961",189,11,3.64,"WMT",2007
"NLA06608-0962",190,6,1.396,"WMT",2007
"NLA06608-0967",1998,1016,15.5,"NPL",2007
"NLA06608-0968",3553,145,47.6,"TPL",2007
"NLA06608-0970",140,3,0.86,"WMT",2007
"NLA06608-0971",787,54,28.584,"TPL",2007
"NLA06608-0972",938,619,13.36,"SPL",2007
"NLA06608-0974",101,4,1.684,"UMW",2007
"NLA06608-0979",952,68,3.754,"WMT",2007
"NLA06608-0980",923,176,84,"TPL",2007
"NLA06608-0982",248,6,2.08,"NAP",2007
"NLA06608-0984",878,115,32.64,"CPL",2007
"NLA06608-0986",186,7,5.216,"CPL",2007
"NLA06608-0987",1800,40,38.304,"UMW",2007
"NLA06608-0989",856,56,65.2,"SAP",2007
"NLA06608-0990",960,40,20.32,"UMW",2007
"NLA06608-0993",551,1,0.528,"NAP",2007
"NLA06608-0994",214,5,3.744,"NAP",2007
"NLA06608-0996",449,9,2.352,"SPL",2007
"NLA06608-0997",204,4,1.504,"NAP",2007
"NLA06608-1001",416,24,5.28,"CPL",2007
"NLA06608-1002",1536,378,1.136,"NPL",2007
"NLA06608-1003",524,12,3.816,"UMW",2007
"NLA06608-1005",425,40,22.88,"SAP",2007
"NLA06608-1006",3391,278,34.2,"NPL",2007
"NLA06608-1007",479,30,9.26,"TPL",2007
"NLA06608-1008",86,4,0.52,"NPL",2007
"NLA06608-1010",901,38,22.72,"NAP",2007
"NLA06608-1012",880,41,7.19,"TPL",2007
"NLA06608-1014",568,15,9.813,"UMW",2007
"NLA06608-1015",1704,77,66.24,"TPL",2007
"NLA06608-1016",749,69,21.44,"SPL",2007
"NLA06608-1018",1174,36,7.56,"UMW",2007
"NLA06608-1022",5003,553,138.24,"NPL",2007
"NLA06608-1024",439,19,6.656,"TPL",2007
"NLA06608-1034",563,5,1.984,"UMW",2007
"NLA06608-1035",4348,160,255.6,"TPL",2007
"NLA06608-1036",856,94,39.888,"TPL",2007
"NLA06608-1037",441,25,10.56,"CPL",2007
"NLA06608-1038",561,20,4,"UMW",2007
"NLA06608-1039",1454,81,125.28,"SAP",2007
"NLA06608-1041",1878,190,3.312,"XER",2007
"NLA06608-1044",344,54,18.4,"CPL",2007
"NLA06608-1045",236,6,1.256,"NAP",2007
"NLA06608-1047",285,3,9.6,"CPL",2007
"NLA06608-1052",1329,295,28.656,"SPL",2007
"NLA06608-1055",1477,88,89.712,"SAP",2007
"NLA06608-1056",464,22,8.752,"SAP",2007
"NLA06608-1057",28,1,0.149,"WMT",2007
"NLA06608-1058",171,1,0.8,"WMT",2007
"NLA06608-1059",1406,161,39.8,"TPL",2007
"NLA06608-1060",2372,243,155.52,"TPL",2007
"NLA06608-1070",1183,774,23.112,"TPL",2007
"NLA06608-1073",68,3,0.338,"WMT",2007
"NLA06608-1075",406,8,4.528,"UMW",2007
"NLA06608-1217",547,64,21.6,"WMT",2007
"NLA06608-1219",3794,99,38.867,"NPL",2007
"NLA06608-1220",478,31,22.4,"CPL",2007
"NLA06608-1083",2784,530,318.24,"SPL",2007
"NLA06608-1086",3950,92,13.86,"NPL",2007
"NLA06608-1087",273,14,3.584,"SAP",2007
"NLA06608-1089",293,8,1.04,"WMT",2007
"NLA06608-1091",2503,90,12.667,"NPL",2007
"NLA06608-1096",665,171,36.17,"NPL",2007
"NLA06608-1100",262,8,2.896,"TPL",2007
"NLA06608-1101",1713,109,128.736,"NAP",2007
"NLA06608-1102",230,4,2.104,"UMW",2007
"NLA06608-1103",6469,224,10.976,"TPL",2007
"NLA06608-1107",7750,733,49.032,"NPL",2007
"NLA06608-1108",1328,126,53.64,"TPL",2007
"NLA06608-1111",1500,193,46.224,"TPL",2007
"NLA06608-1113",118,9,7.568,"SAP",2007
"NLA06608-1114",558,63,12.496,"CPL",2007
"NLA06608-1115",1041,19,4.416,"TPL",2007
"NLA06608-1119",265,16,2.207,"WMT",2007
"NLA06608-1120",165,144,8.016,"SAP",2007
"NLA06608-1122",318,9,5.92,"NAP",2007
"NLA06608-1124",433,9,1.18,"SPL",2007
"NLA06608-1125",315,17,4.176,"NAP",2007
"NLA06608-1129",336,12,4.32,"WMT",2007
"NLA06608-1130",634,65,23.68,"UMW",2007
"NLA06608-1131",504,1,6.192,"UMW",2007
"NLA06608-1134",826,24,9.43,"UMW",2007
"NLA06608-1141",824,45,10.16,"XER",2007
"NLA06608-1179",2741,133,349.2,"TPL",2007
"NLA06608-1181",251,9,82.224,"SAP",2007
"NLA06608-1183",133,3,1.808,"WMT",2007
"NLA06608-1185",2869,62,104.533,"CPL",2007
"NLA06608-1189",281,9,1.868,"NAP",2007
"NLA06608-1190",96,3,6.176,"WMT",2007
"NLA06608-1191",984,152,48.96,"SPL",2007
"NLA06608-1195",753,26,16.571,"TPL",2007
"NLA06608-1198",611,9,2.64,"UMW",2007
"NLA06608-1199",836,44,49.577,"TPL",2007
"NLA06608-1222",391,12,10.4,"CPL",2007
"NLA06608-1223",4053,422,81.6,"TPL",2007
"NLA06608-1224",616,23,NA,"SPL",2007
"NLA06608-1227",487,8,5.08,"TPL",2007
"NLA06608-1232",483,12,5.653,"TPL",2007
"NLA06608-1236",504,52,4.752,"XER",2007
"NLA06608-1238",131,1,1.829,"NAP",2007
"NLA06608-1239",3309,117,83.376,"UMW",2007
"NLA06608-1240",771,141,28.872,"SPL",2007
"NLA06608-1241",526,34,14.08,"SAP",2007
"NLA06608-1242",849,11,2.896,"TPL",2007
"NLA06608-1243",949,42,35.28,"UMW",2007
"NLA06608-1244",3772,253,103.895,"SPL",2007
"NLA06608-1245",596,25,17.44,"CPL",2007
"NLA06608-1255",13825,1326,516,"TPL",2007
"NLA06608-1256",346,20,2.584,"TPL",2007
"NLA06608-1258",712,16,4.347,"UMW",2007
"NLA06608-1259",129,9,3.008,"WMT",2007
"NLA06608-1261",1014,32,16.056,"XER",2007
"NLA06608-1262",788,33,20.8,"UMW",2007
"NLA06608-1263",453,33,14,"SAP",2007
"NLA06608-1266",2228,933,0.927,"XER",2007
"NLA06608-1268",990,69,37.84,"TPL",2007
"NLA06608-1269",1911,646,113.143,"XER",2007
"NLA06608-1270",223,15,1.595,"XER",2007
"NLA06608-1271",3534,604,98.88,"TPL",2007
"NLA06608-1273",2297,197,195.84,"SAP",2007
"NLA06608-1274",285,4,1.904,"UMW",2007
"NLA06608-1278",1965,303,29.088,"TPL",2007
"NLA06608-1279",496,40,10.672,"WMT",2007
"NLA06608-1281",400,4,1.189,"WMT",2007
"NLA06608-1283",1012,68,46.368,"UMW",2007
"NLA06608-1284",180,5,1.189,"WMT",2007
"NLA06608-1288",619,86,45.216,"CPL",2007
"NLA06608-1292",395,17,7.08,"TPL",2007
"NLA06608-1295",740,138,26.08,"XER",2007
"NLA06608-1297",1235,17,6.056,"XER",2007
"NLA06608-1300",229,5,1.594,"SPL",2007
"NLA06608-1303",2338,817,7.648,"UMW",2007
"NLA06608-1326",854,24,1.68,"UMW",2007
"NLA06608-1329",181,9,0.108,"WMT",2007
"NLA06608-1332",932,148,19.64,"TPL",2007
"NLA06608-1333",166,3,1.344,"NAP",2007
"NLA06608-1334",388,7,3,"UMW",2007
"NLA06608-1336",1136,94,49.86,"SPL",2007
"NLA06608-1338",4316,182,4.088,"NPL",2007
"NLA06608-1339",3372,184,147.6,"SPL",2007
"NLA06608-1342",279,12,3.776,"UMW",2007
"NLA06608-1344",419,27,6.3,"NPL",2007
"NLA06608-1346",125,3,2.164,"SAP",2007
"NLA06608-1347",551,12,5.072,"UMW",2007
"NLA06608-1348",396,5,1.31,"SAP",2007
"NLA06608-1349",804,30,27.2,"CPL",2007
"NLA06608-1354",480,6,3.627,"NPL",2007
"NLA06608-1355",584,5,3.84,"UMW",2007
"NLA06608-1356",416,21,4.924,"SAP",2007
"NLA06608-1358",288,11,7.64,"UMW",2007
"NLA06608-1359",1166,108,34.848,"TPL",2007
"NLA06608-1360",734,60,49.92,"SPL",2007
"NLA06608-1364",2072,213,103.2,"SAP",2007
"NLA06608-1365",257,13,5.36,"NAP",2007
"NLA06608-1367",5338,242,184,"TPL",2007
"NLA06608-1368",1180,110,32.2,"SPL",2007
"NLA06608-1369",679,50,30.08,"SAP",2007
"NLA06608-1370",1063,39,16.16,"UMW",2007
"NLA06608-1372",878,113,62.64,"SPL",2007
"NLA06608-1375",2169,79,63.936,"TPL",2007
"NLA06608-1376",346,18,9.12,"SAP",2007
"NLA06608-1377",101,8,0.867,"WMT",2007
"NLA06608-1380",524,21,2.768,"SPL",2007
"NLA06608-1383",1444,35,21.28,"UMW",2007
"NLA06608-1387",994,25,9.968,"UMW",2007
"NLA06608-1389",2506,86,52.848,"CPL",2007
"NLA06608-1390",553,15,5.589,"UMW",2007
"NLA06608-1391",1360,172,67.968,"NAP",2007
"NLA06608-1396",255,19,5.12,"SAP",2007
"NLA06608-1397",3559,367,210.6,"WMT",2007
"NLA06608-1398",624,24,7.874,"UMW",2007
"NLA06608-1401",494,29,37.296,"SAP",2007
"NLA06608-1403",389,7,1.925,"SPL",2007
"NLA06608-1413",1614,25,49.2,"CPL",2007
"NLA06608-1414",319,17,10.48,"NAP",2007
"NLA06608-1417",251,7,1.989,"XER",2007
"NLA06608-1420",1154,112,13.382,"SPL",2007
"NLA06608-1421",1100,41,75.6,"CPL",2007
"NLA06608-1425",468,22,9.712,"WMT",2007
"NLA06608-1426",557,35,12.368,"WMT",2007
"NLA06608-1432",754,91,5.16,"SPL",2007
"NLA06608-1434",458,5,2.312,"UMW",2007
"NLA06608-1435",1260,50,9.4,"TPL",2007
"NLA06608-1436",478,20,4.72,"SPL",2007
"NLA06608-1439",273,12,3.332,"XER",2007
"NLA06608-1445",5009,2670,16.667,"XER",2007
"NLA06608-1446",228,4,0.779,"WMT",2007
"NLA06608-1447",760,13,5.086,"UMW",2007
"NLA06608-1450",469,10,2.944,"UMW",2007
"NLA06608-1454",2341,125,2.82,"TPL",2007
"NLA06608-1455",429,37,8.8,"WMT",2007
"NLA06608-1460",781,22,4.459,"TPL",2007
"NLA06608-1461",708,47,18.216,"XER",2007
"NLA06608-1462",1404,450,26.8,"NPL",2007
"NLA06608-1465",497,5,5.973,"SAP",2007
"NLA06608-1469",576,112,65.52,"CPL",2007
"NLA06608-1473",181,8,2.007,"WMT",2007
"NLA06608-1476",1891,183,62,"SPL",2007
"NLA06608-1481",135,3,0.489,"WMT",2007
"NLA06608-1482",1099,80,23.52,"CPL",2007
"NLA06608-1483",274,13,4.805,"WMT",2007
"NLA06608-1484",105,11,3.795,"SAP",2007
"NLA06608-1487",1071,61,14.592,"UMW",2007
"NLA06608-1488",3409,160,114.624,"SPL",2007
"NLA06608-1489",721,18,17.94,"WMT",2007
"NLA06608-1492",758,41,40.608,"TPL",2007
"NLA06608-1496",356,16,12.98,"SPL",2007
"NLA06608-1499",483,17,2.907,"UMW",2007
"NLA06608-1504",1199,68,155.077,"SAP",2007
"NLA06608-1508",1680,313,11.744,"SPL",2007
"NLA06608-1510",2440,653,28.48,"NPL",2007
"NLA06608-1511",1446,373,5.24,"TPL",2007
"NLA06608-1515",845,33,11.6,"UMW",2007
"NLA06608-1517",339,14,6.384,"SAP",2007
"NLA06608-1521",1351,113,82.512,"XER",2007
"NLA06608-1524",968,157,7.72,"SPL",2007
"NLA06608-1527",5191,587,381.6,"TPL",2007
"NLA06608-1529",649,55,6.04,"XER",2007
"NLA06608-1532",6203,59,42.66,"TPL",2007
"NLA06608-1537",138,8,2.184,"WMT",2007
"NLA06608-1538",252,1,2.616,"SAP",2007
"NLA06608-1544",2228,69,26.64,"TPL",2007
"NLA06608-1556",474,19,5.387,"TPL",2007
"NLA06608-1558",280,8,2.976,"NAP",2007
"NLA06608-1560",852,42,27.467,"CPL",2007
"NLA06608-1561",263,10,3.235,"SAP",2007
"NLA06608-1562",348,16,2.944,"XER",2007
"NLA06608-1564",1159,161,12.8,"SPL",2007
"NLA06608-1568",760,115,11.491,"SPL",2007
"NLA06608-1569",978,22,19.467,"CPL",2007
"NLA06608-1572",420,26,4.453,"TPL",2007
"NLA06608-1575",2503,215,88.2,"TPL",2007
"NLA06608-1576",1344,255,68.4,"TPL",2007
"NLA06608-1577",484,16,4.32,"WMT",2007
"NLA06608-1578",1062,110,23.36,"NPL",2007
"NLA06608-1579",501,7,2.26,"UMW",2007
"NLA06608-1586",369,7,2.96,"NAP",2007
"NLA06608-1593",746,126,6.336,"WMT",2007
"NLA06608-1595",392,18,5.003,"SPL",2007
"NLA06608-1596",26100,1491,684,"SPL",2007
"NLA06608-1600",1011,63,13.008,"NPL",2007
"NLA06608-1602",474,18,4.245,"WMT",2007
"NLA06608-1608",498,64,31.52,"CPL",2007
"NLA06608-1610",48,3,0.502,"WMT",2007
"NLA06608-1617",239,45,7.248,"WMT",2007
"NLA06608-1623",1231,134,24.16,"CPL",2007
"NLA06608-1626",623,30,14.784,"UMW",2007
"NLA06608-1630",806,57,21.44,"SPL",2007
"NLA06608-1631",1209,130,27.576,"XER",2007
"NLA06608-1633",366,19,1.52,"WMT",2007
"NLA06608-1637",440,32,19.872,"NAP",2007
"NLA06608-1638",50,6,0.23,"WMT",2007
"NLA06608-1640",777,90,23.2,"SAP",2007
"NLA06608-1641",845,185,5.66,"WMT",2007
"NLA06608-1643",488,5,3.168,"UMW",2007
"NLA06608-1652",848,99,57.2,"SAP",2007
"NLA06608-1654",354,6,4.48,"UMW",2007
"NLA06608-1655",12241,896,542.4,"NPL",2007
"NLA06608-1668",269,18,18.72,"SAP",2007
"NLA06608-1672",510,15,100.512,"SPL",2007
"NLA06608-1674",1043,35,2.32,"WMT",2007
"NLA06608-1675",521,16,3.008,"WMT",2007
"NLA06608-1679",366,8,3.12,"UMW",2007
"NLA06608-1684",338,17,22.629,"TPL",2007
"NLA06608-1687",918,441,7.52,"TPL",2007
"NLA06608-1690",317,7,4.632,"UMW",2007
"NLA06608-1695",216,19,2.288,"WMT",2007
"NLA06608-1703",1949,304,32.04,"TPL",2007
"NLA06608-1704",749,42,32.544,"TPL",2007
"NLA06608-1706",563,6,2.315,"UMW",2007
"NLA06608-1707",723,8,3.288,"UMW",2007
"NLA06608-1711",190,12,4.32,"SAP",2007
"NLA06608-1715",582,27,8.8,"SPL",2007
"NLA06608-1717",79,3,0.878,"XER",2007
"NLA06608-1719",8803,441,314.609,"NPL",2007
"NLA06608-1723",3516,1537,2.824,"SPL",2007
"NLA06608-1724",1282,55,55.28,"TPL",2007
"NLA06608-1733",3516,45,167.04,"CPL",2007
"NLA06608-1735",679,60,62,"CPL",2007
"NLA06608-1736",1453,53,38.2,"TPL",2007
"NLA06608-1739",157,7,2.23,"WMT",2007
"NLA06608-1740",949,67,27.132,"TPL",2007
"NLA06608-1741",2156,124,116.4,"CPL",2007
"NLA06608-1742",244,7,3.372,"UMW",2007
"NLA06608-1748",131,4,1.035,"WMT",2007
"NLA06608-1753",267,6,1.064,"WMT",2007
"NLA06608-1755",646,30,12.6,"UMW",2007
"NLA06608-1758",892,8,3.064,"UMW",2007
"NLA06608-1771",603,10,4.032,"UMW",2007
"NLA06608-1775",548,74,23,"SAP",2007
"NLA06608-1781",789,58,14.56,"XER",2007
"NLA06608-1782",606,32,17.44,"UMW",2007
"NLA06608-1789",501,1,1.349,"SAP",2007
"NLA06608-1791",401,5,1.627,"SAP",2007
"NLA06608-1793",139,9,5.448,"WMT",2007
"NLA06608-1800",604,50,43.632,"CPL",2007
"NLA06608-1802",536,18,5.296,"UMW",2007
"NLA06608-1804",699,120,25.47,"SPL",2007
"NLA06608-1930",178,31,1.482,"XER",2007
"NLA06608-1936",788,89,31.4,"TPL",2007
"NLA06608-1808",628,48,24.8,"CPL",2007
"NLA06608-1810",611,69,14.8,"XER",2007
"NLA06608-1811",1558,27,7.573,"NPL",2007
"NLA06608-1812",303,61,13.68,"SAP",2007
"NLA06608-1818",90,7,0.68,"WMT",2007
"NLA06608-1821",2709,255,197,"SAP",2007
"NLA06608-1824",824,56,25.143,"SPL",2007
"NLA06608-1825",839,45,16.2,"CPL",2007
"NLA06608-1835",531,16,2.02,"UMW",2007
"NLA06608-1836",2766,246,115.56,"SPL",2007
"NLA06608-1839",420,20,12.533,"CPL",2007
"NLA06608-1840",1361,216,72,"TPL",2007
"NLA06608-1851",228,23,6.05,"SPL",2007
"NLA06608-1856",3159,1129,5.184,"NPL",2007
"NLA06608-1857",198,1,1.248,"WMT",2007
"NLA06608-1861",1216,75,55.32,"CPL",2007
"NLA06608-1862",1058,520,7.6,"XER",2007
"NLA06608-1863",506,32,61.44,"CPL",2007
"NLA06608-1866",232,11,4.357,"XER",2007
"NLA06608-1867",2091,74,52.704,"UMW",2007
"NLA06608-1868",676,21,9,"SPL",2007
"NLA06608-1871",139,5,3.096,"SAP",2007
"NLA06608-1873",37,1,0.464,"WMT",2007
"NLA06608-1874",374,26,3.56,"WMT",2007
"NLA06608-1879",4075,328,109.662,"TPL",2007
"NLA06608-1884",2334,39,25.44,"TPL",2007
"NLA06608-1893",581,302,6.94,"XER",2007
"NLA06608-1894",162,36,0.446,"WMT",2007
"NLA06608-1906",368,14,2.104,"NAP",2007
"NLA06608-1908",185,10,0.944,"SAP",2007
"NLA06608-1910",830,37,22.24,"UMW",2007
"NLA06608-1948",2981,486,20.88,"SPL",2007
"NLA06608-1953",226,15,9.173,"WMT",2007
"NLA06608-1958",18,10,0.668,"WMT",2007
"NLA06608-1959",1494,493,17.486,"TPL",2007
"NLA06608-1960",403,108,14.848,"TPL",2007
"NLA06608-1968",2076,255,94.933,"NPL",2007
"NLA06608-1975",739,18,4.981,"TPL",2007
"NLA06608-1985",27,3,0.664,"WMT",2007
"NLA06608-1989",658,71,17.12,"XER",2007
"NLA06608-1992",2041,108,104.4,"CPL",2007
"NLA06608-1998",430,13,3.323,"UMW",2007
"NLA06608-2005",1398,276,194.4,"XER",2007
"NLA06608-2007",1331,59,6.72,"TPL",2007
"NLA06608-2010",494,24,14.304,"CPL",2007
"NLA06608-2027",551,49,3.952,"WMT",2007
"NLA06608-2036",278,11,4.408,"TPL",2007
"NLA06608-2037",1190,175,19.2,"XER",2007
"NLA06608-2039",4691,277,338.4,"TPL",2007
"NLA06608-2049",276,5,1.415,"WMT",2007
"NLA06608-2056",2082,572,92.16,"TPL",2007
"NLA06608-2072",1134,78,105.84,"CPL",2007
"NLA06608-2074",1004,72,61.091,"CPL",2007
